,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
0,Simeulue,2022,1771882.88,100995.31,832009.1,1092343.9,6197.77,-1115400.61,2688028.35
1,Aceh Singkil,2022,1837939.35,50875.44,917253.61,898634.96,35602.56,-735681.36,3004624.56
2,Aceh Selatan,2022,4135803.3,117098.15,1301141.82,2149461.38,25269.89,-1282256.77,6446517.77
3,Aceh Tenggara,2022,4168534.33,205550.87,1440371.46,1594665.55,162028.39,-1742458.33,5828692.27
4,Aceh Timur,2022,9037578.94,328965.33,1543873.27,4276605.48,250955.59,-2336922.77,13101055.84
5,Aceh Tengah,2022,3721566.7,138418.57,1294573.87,3391856.38,73095.0,253896.88,8873407.4
6,Aceh Barat,2022,4518389.31,236536.51,1380158.42,4260455.47,193233.0,2141386.11,12730158.82
7,Aceh Besar,2022,10283764.34,69932.91,2506703.58,5316038.98,199627.49,-2919203.5,15456863.79
8,Pidie,2022,8315097.51,305399.56,2407935.58,3701562.96,588.46,-2318211.01,12412373.06
9,Bireuen,2022,9806630.47,283252.47,2064186.27,3476180.48,294558.95,-455247.46,15469561.17
10,Aceh Utara,2022,12512766.95,461876.83,2877783.38,7020404.63,133771.17,5303852.43,28310455.4
11,Aceh Barat Daya,2022,2433178.57,69333.87,848430.79,2593921.61,27199.98,-1425709.13,4546355.7
12,Gayo Lues,2022,1538506.33,86908.29,943240.21,1221609.68,70369.09,-784130.14,3076503.46
13,Aceh Tamiang,2022,5343217.09,136863.65,1269968.99,2797665.13,1122.65,884413.97,10433251.5
14,Nagan Raya,2022,3916636.25,192448.99,982405.1,3210040.84,16254.77,2317470.87,10635256.81
15,Aceh Jaya,2022,1562116.37,64541.04,958458.33,1615964.13,34044.04,-1113592.73,3121531.18
16,Bener Meriah,2022,2584472.69,109475.85,947816.2,2406984.78,4325.68,-576902.2,5476173.0
17,Pidie Jaya,2022,2923383.37,169506.37,939907.31,1449224.01,-14314.3,-1487527.95,3980178.81
18,Kota Banda Aceh,2022,12332050.47,350327.37,8005958.49,5042582.41,187667.45,-4358074.9,21560511.29
19,Kota Sabang,2022,886167.54,106219.15,945381.34,1075121.96,84426.48,-1454538.47,1642777.99
20,Kota Langsa,2022,4014067.81,150280.07,1084745.08,2197130.26,139148.22,-1322086.72,6263284.71
21,Kota Lhokseumawe,2022,5130724.0,129865.36,1559578.62,4599354.24,92053.56,-1233950.42,10277625.37
